domain,data_item,writer_page,write_api,source_table,source_column,interpretation_rule,consumer_type,consumer,read_api,dto_field,transform_or_fallback,snapshot_or_cache,confidence
기준정보-기간,전환 주차,UNKNOWN,UNKNOWN,weeks,"season_key;week_number",전환주차는 다음 시즌 W0 으로 취급(lib/adminSeasonWeeksData.ts),admin-page,/admin/team-parts/info/weeks,GET /api/admin/team-parts/info/weeks,weeks[],정보 주차 목록에서 전환주차 제외,,MEDIUM
기준정보-기간,시즌 메타(파생),없음,없음,season_definitions,"season_key;label;order",읽기 전용 기준표 — 어드민에 쓰기 경로 없음(W:0 R:16),admin-page,다수,다수,seasonLabel,,,HIGH
기준정보-기간,공식 휴식 기간,/admin/official-rest-periods,POST /api/admin/official-rest-periods,official_rest_periods,"organization_slug;start_date;end_date;reason",lib/officialRestPeriodsData.ts — 조직 단위 전역 휴식,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].isRestWeek,,cluster4_weekly_card_snapshots,HIGH
기준정보-기간,공식 휴식 주차(파생),없음,없음,official_rest_weeks,UNKNOWN,읽기 전용(lib/adminSeasonWeeksData.ts 1곳),admin-page,/admin/periods/register,GET /api/admin/season-weeks,weeks[].isOfficialRest,,,LOW
기준정보-기간,라인 개설 창,/admin/settings/line-opening-windows,POST /api/admin/line-opening-windows,line_opening_windows,"hub;organization_slug;week_id;opens_at;closes_at",lib/lineOpeningWindowsData.ts — org+hub 조합별 창. 금요일 경계 규칙 별도,admin-page,/admin/line-opening/practical-info,GET /api/admin/line-opening-windows/active,active[].windowId,창 없으면 기본 정책 폴백,,HIGH
기준정보-기간,프로세스 체크 창,/admin/settings/process-check-windows,POST /api/admin/process-check-windows,process_check_windows,"hub;week_id;opens_at;closes_at",lib/processCheckWindowsData.ts,admin-page,/admin/processes/check/info,GET /api/admin/processes/check,windows[],예외 주차 별도 규칙,,HIGH
기준정보-기간,수정 창(사용자별),/admin/settings/edit-windows,PATCH /api/admin/edit-windows/[user_id],user_edit_windows,"user_id;week_id;opens_at;closes_at",lib/adminEditWindowsData.ts — weekId 키. 등급 척도 별도,external-api,크루앱,/api/edit-windows/permission,canEdit,,,HIGH
기준정보-프로세스,라인 그룹,/admin/processes/register,POST /api/admin/processes/line-groups,process_line_groups,"hub;group_name;scope_type;organization_slug",scope_type 이 파트 전용 여부의 명시 SoT(isPartLineGroupName 대체) lib/adminProcessesData.ts,admin-page,/admin/processes/check/info,GET /api/admin/processes/line-groups,groups[].scopeType,,,HIGH
기준정보-프로세스,액트 마스터,/admin/processes/register,POST /api/admin/processes/acts,process_acts,"line_group_id;act_name;point_check;point_advantage;point_penalty",lib/adminProcessesData.ts — 배점 3종이 적립 산식 입력,batch,processPointAccrual,,,point_check→points / point_advantage→advantages / point_penalty→penalty,,HIGH
기준정보-프로세스,액트 소프트 취소,UNKNOWN,UNKNOWN,process_acts,UNKNOWN,소프트 취소 정책 — 물리 삭제 대신 상태 전이,admin-page,/admin/processes/register,GET /api/admin/processes/info,acts[],,,LOW
계정·권한,관리자 계정,/admin/settings/accounts,POST /api/admin/accounts,admin_users,"user_id;role;display_name",lib/adminAccountsData.ts — users/user_profiles 동시 생성,admin-page,전 페이지 인증,GET /api/admin/me,role,,,HIGH
계정·권한,관리자 권한 감사,/admin/settings/accounts,PATCH /api/admin/accounts/[user_id],user_role_audit,UNKNOWN,쓰기 전용 감사 로그(W:2 R:0) — 어드민에 조회 화면 없음,other,없음,,,,,HIGH
계정·권한,역할 권한,/admin/settings/permissions,PATCH /api/admin/permissions/[key],role_permissions,"permission_key;role;allowed",lib/adminPermissionsData.ts,admin-page,사이드바/메뉴 게이트,GET /api/admin/permissions,items[].allowed,,,HIGH
계정·권한,권한 변경 감사,/admin/settings/permissions,PATCH /api/admin/permissions/[key],role_permissions_audit,UNKNOWN,쓰기 전용(W:1 R:0),other,없음,,,,,HIGH
계정·권한,가입 대기자 승인,/admin/users/applicants,POST /api/admin/applicants/[id]/approve-new,applicants,status,lib/adminApplicantData.ts — user_profiles/users/auth_accounts 동시 변경,admin-page,/admin/users/applicants,GET /api/admin/applicants,items[].status,,,HIGH
계정·권한,OAuth provider 연결,/admin/users/applicants,POST /api/admin/applicants/[id]/approve-existing,auth_accounts,UNKNOWN,provider 키 기반 연결 — 쓰기 전용(W:1 R:0),other,없음,,,,,MEDIUM
계정·권한,사용자 조직 배정,/admin/users/app-users,PATCH /api/admin/user-profiles/[user_id]/organization,user_profiles,organization_slug,모든 org 스코프 판정의 뿌리 — lib/userScope.ts / lib/adminOrgAccess.ts,admin-page,전 org 스코프 화면,다수,organization,,,HIGH
계정·권한,관리자별 허용 조직,UNKNOWN,UNKNOWN,user_profiles,organization_slug,lib/adminOrgAccess.ts assertOrgAccess — admin_users.role + user_profiles.organization 조합,admin-page,team-parts/rest-management/lines 계열,다수,,,,HIGH
라인 운영,라인 인스턴스(정보),/admin/line-opening/practical-info,POST /api/admin/cluster4/info-lines,cluster4_lines,"week_id;activity_type_id;line_name;organization_slug;status;opened_at",app/api/admin/cluster4/info-lines/route.ts 직접 insert. 0-target sentinel 규칙 별도,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
라인 운영,라인 대상자,/admin/line-opening/practical-info,POST /api/admin/cluster4/info-lines,cluster4_line_targets,"line_id;user_id;status",대상자 = 라인 수혜 크루. lib/userScope.ts assertUserIdsInScope 로 org/mode 가드,external-api,크루앱 라인 상세,/api/cluster4/lines/detail,targets[],,,HIGH
라인 운영,라인 인스턴스(경험),/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience-lines,cluster4_lines,"week_id;line_name;organization_slug",app/api/admin/cluster4/experience-lines/route.ts 직접 insert,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
라인 운영,라인 인스턴스(역량),/admin/line-opening/practical-competency,POST /api/admin/cluster4/competency-lines,cluster4_lines,"week_id;line_name;organization_slug",app/api/admin/cluster4/competency-lines/route.ts 직접 insert + 적립 연동,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
라인 운영,라인 인스턴스(커리어),/admin/line-opening/practical-career,POST /api/admin/cluster4/career-lines,cluster4_lines,"week_id;career_project_id;organization_slug",app/api/admin/cluster4/career-lines/route.ts 직접 insert,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
라인 운영,라인 마감,/admin/members/[userId]/weeks/[weekId],POST /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id]/close,cluster4_lines,"status;closed_at",lib/lineResultAwardReconcile.ts — 마감 시 process_point_awards 와 정합 재조정,external-api,크루앱,/api/cluster4/weekly-cards,cards[].lines[].status,,,HIGH
라인 운영,라인 자동 마감(배치),없음,POST /api/admin/cluster4/lines/run-due-closes,cluster4_lines,status,lib/cluster4LineCloseDueSweep.ts — CRON_SECRET 서버 트리거. vercel.json 에 cron 정의 없음(Hobby),batch,cluster4LineCloseDueSweep,,,,,HIGH
라인 운영,라인 제출물,없음(크루 입력),POST /api/cluster4/lines/[lineTargetId]/submission,cluster4_line_submissions,"line_target_id;content;submitted_at",lib/cluster4LinesData.ts — 크루앱이 쓰고 어드민이 읽는 역방향 흐름,admin-page,/admin/members/[userId]/weeks/[weekId],GET /api/admin/members/[user_id]/weeks/[week_id]/lines,lines[].submission,user_edit_windows 로 편집 가능 여부 게이트,,HIGH
라인 운영,라인 강화 override,/admin/members/[userId]/weeks/[weekId],PUT /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id],cluster4_line_enhancement_overrides,UNKNOWN,lib/cluster4EnhancementOverride.ts — 계산된 강화율을 수동 덮어쓰기,external-api,크루앱 라인 강화 내역,/api/cluster4/weekly-line-enhancement,lines[].enhancement,override 없으면 계산값,,HIGH
라인 운영,강화율 통일 규칙,없음,없음,cluster4_line_enhancement_overrides,UNKNOWN,강화율 SoT 통일 — 페이지별 재계산 금지. 대기 48h 규칙 별도,external-api,크루앱,/api/cluster4/weekly-line-enhancement,,projectCrewLineEnhancement 투영,,MEDIUM
라인 운영,2차 기입 override,/admin/members/[userId]/weeks/[weekId],PATCH /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id]/second-entry,cluster4_line_second_entry_overrides,UNKNOWN,lib/cluster4SecondEntryOverride.ts,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,MEDIUM
라인 운영,라인 개설 로그,/admin/line-opening/practical-info,POST /api/admin/cluster4/info-lines,cluster4_line_opening_logs,"line_id;actor_user_id;action;occurred_at",lib/adminCluster4OpeningLogs.ts — actor 컨텍스트 기록,admin-page,/admin/line-opening/practical-info,GET /api/admin/cluster4/opening-logs,logs[],,,HIGH
라인 운영,라인 개설 포인트,/admin/line-opening/practical-info,POST /api/admin/cluster4/info-lines,process_point_awards,"source='line';ref_id",lib/processPointAccrual.ts accrueForLine — 라인 개설이 적립을 유발,external-api,크루앱 품계,/api/cluster3/club-rank,avgPercentile,,clubRankComputationCache,HIGH
라인 운영,라인 이력 집계,없음,없음,cluster4_lines,"status;opened_at",lib/adminCluster4LinesData.ts — raw 라인 개수 집계(요약 재계산 아님),admin-page,/admin/line-opening/line-history,GET /api/admin/cluster4/lines/history,rows[],허브별 그룹 표로 별도 성형,,MEDIUM
라인 운영,라인 org 감사(전수),없음,없음,cluster4_weekly_card_snapshots,cards,lib/adminCluster4LinesData.ts collectLineOrgAudience — 라인마다 snapshot 전수 + user_profiles.org 조합,admin-page,/admin/line-opening/line-history,GET /api/admin/cluster4/lines/history,rows[].orgAudience,snapshot 없으면 누락,cluster4_weekly_card_snapshots,MEDIUM
경험 워크플로,경험 초안,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience-drafts,cluster4_experience_line_drafts,"week_id;line_name;status;organization_slug",lib/adminExperienceDraftData.ts — 초안→검수→개설 3단,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience-drafts,drafts[].status,,,HIGH
경험 워크플로,경험 초안 검수,/admin/line-opening/practical-experience,PATCH /api/admin/cluster4/experience-drafts/[id]/review,cluster4_experience_line_drafts,"status;reviewed_at",lib/adminExperienceDraftData.ts,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience-workflow-summary,summary,,,HIGH
경험 워크플로,경험 초안 개설,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience-drafts/open,cluster4_lines,UNKNOWN,lib/adminExperienceDraftData.ts — 초안 승인 시 cluster4_lines + targets + evaluations 동시 insert,external-api,크루앱,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
경험 워크플로,파트 입력,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/part-input,cluster4_experience_part_submissions,"week_id;team_id;part_type;organization_slug",lib/adminExperiencePartInput.ts — 저장 게이트 키 = part_type,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/part-input,parts[],,,HIGH
경험 워크플로,파트 입력 셀,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/part-input,cluster4_experience_part_submission_cells,UNKNOWN,lib/adminExperiencePartInput.ts,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/part-input,parts[].cells,,,HIGH
경험 워크플로,팀 총괄,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/team-overall,cluster4_experience_team_overall,"week_id;team_id;status;reviewed_at",lib/adminExperienceTeamOverall.ts — 총괄 확정이 라인 개설을 유발,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
경험 워크플로,팀 총괄 셀,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/team-overall,cluster4_experience_team_overall_cells,UNKNOWN,lib/adminExperienceTeamOverall.ts — delete+insert 재작성,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/team-overall,cells[],,,HIGH
경험 워크플로,팀 총괄 산출물,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/team-overall,cluster4_experience_team_overall_outputs,UNKNOWN,개설 링크·이미지 필수 검증,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/team-overall,outputs[],,,HIGH
경험 워크플로,팀 총괄 개설 라인,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/team-overall,cluster4_experience_team_overall_opened_lines,UNKNOWN,lib/adminExperienceTeamOverall.ts — 총괄이 실제 개설한 라인 추적,admin-page,/admin/team-parts/info/weeks/[weekId],GET /api/admin/team-parts/info/weeks/[weekId]/line-opening-management,openedLines[],,,HIGH
경험 워크플로,검수 자동취소(파트 변경),/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/part-input,cluster4_experience_team_overall,"status='none';reviewed_at",lib/adminExperienceReviewReset.ts — 409 확인 게이트 후 저장→취소 순서,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/team-overall,status,,,HIGH
경험 워크플로,경험 평가,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/team-overall,cluster4_experience_line_evaluations,UNKNOWN,lib/adminExperienceTeamOverall.ts insert/delete,external-api,크루앱 라인 상세,/api/cluster4/lines/detail,evaluation,,,HIGH
경험 워크플로,경험 개설 로그,/admin/line-opening/practical-experience,POST /api/admin/cluster4/experience/part-input,cluster4_experience_opening_logs,"actor_user_id;action;occurred_at",lib/adminExperienceOpeningLogs.ts — actAsTestUserId 시 액터 컨텍스트 분기,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/opening-logs,logs[],,,HIGH
경험 워크플로,경험 연장 기간,없음,없음,cluster4_experience_extension_periods,UNKNOWN,읽기 전용(W:0 R:3) — 개설 상태 판정 입력,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/opening-status,extension,,,MEDIUM
경험 워크플로,경험 개설 상태,없음,없음,"cluster4_line_targets;cluster4_lines;cluster4_experience_extension_periods",UNKNOWN,app/api/admin/cluster4/experience/opening-status/route.ts 직접 조합 + adminTeamPartsInfoWeekDetailData 의 week open 게이트,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/opening-status,status,demoUserId 분기 존재,,MEDIUM
역량 워크플로,역량 신청,/admin/line-opening/practical-competency,POST /api/admin/cluster4/competency/applications,cluster4_competency_applications,"week_id;user_id;line_master_id;status",lib/adminCompetencyApplications.ts,admin-page,/admin/line-opening/practical-competency,GET /api/admin/cluster4/competency/applications,items[].status,,,HIGH
역량 워크플로,역량 개설,/admin/line-opening/practical-competency,POST /api/admin/cluster4/competency/opening,cluster4_competency_week_output,UNKNOWN,lib/adminCompetencyLineOpening.ts — 개설 링크·설명 필수. 즉시 snapshot invalidate,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
역량 워크플로,역량 개설 상태,없음,없음,"cluster4_line_targets;cluster4_lines",UNKNOWN,lib/adminCompetencyLineOpening.ts — 분모=개설 대상자만,admin-page,/admin/line-opening/practical-competency,GET /api/admin/cluster4/competency/opening-status,status,demoUserId 분기 존재,,MEDIUM
역량 워크플로,역량 개설 로그,/admin/line-opening/practical-competency,POST /api/admin/cluster4/competency/opening,cluster4_competency_opening_logs,"actor_user_id;occurred_at",lib/adminCompetencyOpeningLogs.ts,admin-page,/admin/line-opening/practical-competency,GET /api/admin/cluster4/competency/opening-logs,logs[],,,HIGH
역량 워크플로,역량 라인 선택(크루별),/admin/members/[userId]/weeks/[weekId],POST /api/admin/members/[user_id]/weeks/[week_id]/competency-lines,"cluster4_lines;cluster4_line_targets",UNKNOWN,lib/adminCompetencyLineSelect.ts — 선택 변경 시 process_point_awards delete 로 적립 회수,external-api,크루앱,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
역량 워크플로,경험 라인 선택(크루별),/admin/members/[userId]/weeks/[weekId],POST /api/admin/members/[user_id]/weeks/[week_id]/experience-lines,"cluster4_lines;cluster4_line_targets",UNKNOWN,lib/adminExperienceLineSelect.ts — process_point_awards delete 동반,external-api,크루앱,/api/cluster4/weekly-cards,cards[].lines[],,cluster4_weekly_card_snapshots,HIGH
프로세스 체크,체크 상태,/admin/processes/check/info,POST /api/admin/processes/check,process_check_statuses,"week_id;line_group_id;act_id;status;scope_mode",lib/adminProcessCheckData.ts — hub/org/team/part/mode 스코프 재현,admin-page,/admin/processes/check/info,GET /api/admin/processes/check,rows[].status,,,HIGH
프로세스 체크,체크 로그,/admin/processes/check/info,POST /api/admin/processes/check,process_check_logs,"scope_type;actor;occurred_at",lib/adminProcessCheckData.ts — scope_type 이 파트 독립 판정. TeamScopeLabel 로 배지 표시,admin-page,/admin/processes/check/info,GET /api/admin/processes/check,rows[].logs,,,HIGH
프로세스 체크,이행자(대상자),/admin/processes/check/info,POST /api/admin/processes/check,process_check_review_recipients,"source;ref_id;match_type;user_id",match_type='matched' 가 이행자. 대상자=카페 댓글 ∩ 소속(lib/processCheckScopeRoster.ts),batch,processPointAccrual,,,이행자→A/B / 비대상자→C,,HIGH
프로세스 체크,체크 롤백,/admin/processes/check/info,POST /api/admin/processes/check/rollback,"process_check_statuses;process_check_review_recipients","status;(delete)",lib/processCheckRollback.ts,admin-page,/admin/processes/check/info,GET /api/admin/processes/check,rows[].status,,,HIGH
프로세스 체크,댓글 재수집,/admin/processes/check/info,POST /api/admin/processes/check/recollect,process_check_review_recipients,"(delete+insert)",lib/processCheckDueSweep.ts — test_user_markers 로 테스트 모집단 분기,admin-page,/admin/processes/check/info,GET /api/admin/processes/check,rows[].collectionStatus,,,HIGH
프로세스 체크,체크 자동 실행(배치),없음,POST /api/admin/processes/check/run-due-checks,process_check_review_recipients,"(delete+insert)",lib/processCheckDueSweep.ts — CRON_SECRET 서버 트리거. mode 분기 존재,batch,processCheckDueSweep,,,,,HIGH
프로세스 체크,검수 시점(실제),UNKNOWN,UNKNOWN,process_check_statuses,UNKNOWN,검수시점(실제) SoT — 표시 시각은 집계창이 아니라 실제 이행 시각,admin-page,/admin/team-parts/info/weeks/[weekId],GET /api/admin/team-parts/info/weeks/[weekId]/act-check-management,rows[].reviewedAt,,,MEDIUM
프로세스 체크,비정규(변동) 액트,/admin/processes/check/irregular,POST /api/admin/processes/check/irregular,process_irregular_acts,"week_id;user_id;point_a;point_b;point_c",lib/adminProcessIrregularData.ts — ref_id 로 원장 연결,external-api,크루앱 품계,/api/cluster3/club-rank,avgPercentile,,clubRankComputationCache,HIGH
프로세스 체크,변동 액트 롤백,/admin/processes/check/irregular,POST /api/admin/processes/check/irregular/rollback,"process_irregular_acts;process_check_review_recipients","(delete)",lib/adminProcessIrregularData.ts,admin-page,/admin/processes/check/irregular,GET /api/admin/processes/check/irregular,items[],,,HIGH
프로세스 체크,수동 보완 부여,/admin/members/[userId]/weeks/[weekId],POST /api/admin/members/[user_id]/weeks/[week_id]/acts/supplement,process_irregular_acts,"point_a;point_b;point_c",lib/adminProcessIrregularData.ts 경유 수동 부여. mode=test 분기 존재,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
프로세스 체크,액트 취소(영향 미리보기),/admin/members/[userId]/weeks/[weekId],POST /api/admin/members/[user_id]/weeks/[week_id]/acts/cancel/preview,"user_weekly_points;process_point_awards",UNKNOWN,lib/crewWeekMutationImpact.ts — 쓰기 전 영향 계산(읽기 전용),admin-page,/admin/members/[userId]/weeks/[weekId],POST .../acts/cancel/preview,impact,,,HIGH
프로세스 체크,액트 신청율,없음,없음,"process_acts;process_check_statuses",UNKNOWN,액트 체크 신청율 SoT — lib/adminActCheckApplicationInputs.ts,admin-page,/admin/team-parts/info/weeks/[weekId],GET /api/admin/team-parts/info/weeks/[weekId]/act-check-management,rows[].applicationRate,,,MEDIUM
프로세스 체크,Po.C 동시 차단,없음,없음,process_point_awards,UNKNOWN,resolveEffectivePenalty — A+C·B+C 동시 지급 금지(2026-07-04),batch,processPointAccrual,,,순수 수동 패널티만 C 유지,,HIGH
프로세스 체크,Point C 비대상자,없음,없음,process_point_awards,UNKNOWN,unselectedUsers = resolveCheckScopeRoster − matched. 소급 backfill 없음,external-api,크루앱 품계,/api/cluster3/club-rank,,,clubRankComputationCache,HIGH
포인트,적립 원장,없음(체크 완료 부수효과),POST /api/admin/processes/check,process_point_awards,"source;ref_id;user_id;week_id;points;advantages;penalty",lib/processPointAccrual.ts — 적립 SoT. (source;ref_id) 단위 reconcile(멱등),admin-page,/admin/members/[userId]/weeks/[weekId],GET /api/admin/members/[user_id]/weeks/[week_id]/acts,awards[],,,HIGH
포인트,주차 포인트 합,없음(적립 부수효과),POST /api/admin/processes/check,user_weekly_points,"points;advantages;penalty",원장 (user;iso_year;iso_week) 합으로 **전량 재계산**(증분 금지). composeWeeklyPointTotals,external-api,크루앱 품계,/api/cluster3/club-rank,avgPercentile,,clubRankComputationCache,HIGH
포인트,레거시 기준층,없음(마이그레이션),POST /api/admin/pms/sync-pointlogs,user_weekly_points,"legacy_points;legacy_advantages;legacy_penalty",lib/userWeeklyPointsBaseline.ts — points = legacy_* 기준층 + 활성 award 기여층. award 취소 시 기준값 복귀,external-api,크루앱 품계,/api/cluster3/club-rank,avgPercentile,마이그레이션 2026-07-26 미적용 시 폴백 경로,,HIGH
포인트,레거시 원장(PMS),없음,POST /api/admin/pms/sync-pointlogs,legacy_point_ledger,UNKNOWN,lib/pmsPointlogsSync.ts — PMS pointlogs 증분 동기. 07-25 uwp 소멸 복구 원천,batch,pmsPointlogsSync,,,,,HIGH
포인트,누적 포인트,없음,POST /api/admin/pms/sync-pointlogs,user_cumulative_points,UNKNOWN,lib/pmsPointlogsSync.ts upsert — **어드민 내 읽기 소비처 없음**(W:1 R:0). 크루앱/프론트 소비 추정,external-api,UNKNOWN,UNKNOWN,UNKNOWN,,,LOW
포인트,포인트 표시 해석,없음,없음,user_weekly_points,"points;advantages;penalty",lib/pointResolver.ts — Point C 양수 정규화 규칙 포함,admin-page,/admin/members/[userId]/weekly-status,GET /api/admin/users/[user_id]/weekly-status,weeks[].points,,,MEDIUM
포인트,주차 포인트(주차상세),없음,없음,user_weekly_points,"points;advantages;penalty",lib/adminUserWeeklyStatusData.ts — weeks 조인으로 주차별 전개,admin-page,/admin/members/[userId]/weekly-status,GET /api/admin/users/[user_id]/weekly-status,weeks[],,,HIGH
포인트,라인 가용성 판정 입력,없음,없음,user_weekly_points,UNKNOWN,lib/lineAvailability.ts — 포인트를 슬롯 정책 입력으로 사용(CLUSTER4_SLOT_POLICY_EFFECTIVE_FROM),admin-page,/admin/line-opening/practical-info,GET /api/admin/cluster4/info-lines,items[].available,,,MEDIUM
주차 상태,주차 결과 공표,/admin/week-recognitions,PATCH /api/admin/weeks/[week_id]/publish-result,weeks,result_published_at,lib/adminWeekRecognitionsData.ts — is(null) 가드로 1회만 전이,external-api,크루앱,/api/cluster4/weekly-cards,cards[].isPublished,,cluster4_weekly_card_snapshots,HIGH
주차 상태,주차 결과 검수,/admin/week-recognitions,PATCH /api/admin/weeks/[week_id]/review-result,weeks,result_reviewed_at,lib/adminWeekRecognitionsData.ts,admin-page,/admin/week-recognitions,GET /api/admin/week-recognitions,weeks[].reviewedAt,컬럼 미존재 시 select 폴백(마이그 미적용),,HIGH
주차 상태,활동 인정 개수 N,/admin/week-recognitions,PATCH /api/admin/weeks/[week_id]/check-threshold,weeks,check_threshold,lib/adminWeekRecognitionsData.ts — 인정 임계값. 변경 시 recognitions stale,admin-page,/admin/week-recognitions,GET /api/admin/week-recognitions,weeks[].checkThreshold,컬럼 미존재 시 폴백,,HIGH
주차 상태,자동 공표 보류,없음,POST /api/admin/weeks/run-due-week-actions,weeks,auto_publish_hold_at,lib/operationalState/weekResultState.ts,batch,dueWeekActionsSweep,,,,,MEDIUM
주차 상태,공표 되돌리기,/admin/weekly-card-finalization,POST /api/admin/weekly-card-finalization/revert,weeks,"result_published_at=null;result_reviewed_at=null",lib/adminWeeklyCardFinalizationData.ts — 두 컬럼 동시 null 복귀,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
주차 상태,주차 자동 액션 로그,없음,POST /api/admin/weeks/run-due-week-actions,week_auto_action_log,UNKNOWN,lib/dueWeekActionsSweep.ts — 쓰기 전용(W:1 R:0). 조회 화면 없음,other,없음,,,,,HIGH
